Id,Label,timeset,0,1,2,3,4,5,6,componentnumber,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality,dynamic_indegree,dynamic_outdegree,dynamic_degree
4146,enelmonte.bsky.social,,18,-172.133163,177.446259,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3702,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4149,judasiscariote.bsky.social,,18,-174.619904,177.625778,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3703,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4150,ainahc.bsky.social,,18,-171.776672,177.763138,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3704,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4151,nevermorechange.bsky.social,,15,194.749481,170.82959,2,0,2,"rgb(204,120,188)",0,0,2,2,0,2,2,10,0.223426,0.243226,5666.80138,0,0.000715,0.000042,3705,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4152,rmigueelolivaw.bsky.social,,18,-172.725983,175.745346,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3706,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4153,obijuanbleda.bsky.social,,18,-170.509918,176.169724,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3707,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4154,euskodarthvader.bsky.social,,62,328.140747,22.008892,2,0,1,"rgb(222,143,5)",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4156,srpacha.bsky.social,,62,327.12677,22.551363,2,0,1,"rgb(222,143,5)",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4157,yggdrrasil.bsky.social,,18,-171.403427,178.421906,2,0,1,"rgb(148,148,148)",0,0,1,1,0,2,2,10,0.217182,0.233036,0,0,0.000382,0.000042,3708,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4160,olme11.bsky.social,,18,-172.171875,180.346527,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,11,0.178446,0.186915,0,0,0,0.000042,3709,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4161,selocreim.bsky.social,,18,-173.952103,176.063324,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3710,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4162,kalvisetas.bsky.social,,18,-171.782852,179.21698,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3711,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4163,dulce-sombra.bsky.social,,18,-171.671021,176.854218,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3712,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4164,antoniograo.bsky.social,,18,-173.20784,179.338898,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3713,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4166,cancarl.bsky.social,,18,-173.669617,179.006516,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3714,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4171,ciller.bsky.social,,18,-171.695679,175.689407,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3715,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4173,tiasira.bsky.social,,18,-172.461639,178.83197,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3716,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4174,rodri2727.bsky.social,,18,-173.955292,178.172333,2,0,2,"rgb(148,148,148)",0,0,2,2,0,2,2,10,0.247046,0.2815,34154.09406,0,0.034019,0.000042,3717,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
