Source,Target,Type,Id,Label,Weight,7,8,9,10,11,12,13,14,15,16,17,18,19,20
22,0,Directed,76,,2,2024-11-19,"<[2024-11-19, 2024-11-19]>",https://bsky.app/profile/helenaconhache.bsky.social/post/3lbbw4r7um22w,0,0,0,0,0,0,0,0,Tenéis que repetir porfi para que podamos ir las que no pillamos entradas ❤️‍🩹🫣🙌🙏,replied_to,693
23,0,Directed,78,,1,2024-11-29,"<[2024-11-29, 2024-11-29]>",https://bsky.app/profile/siragr.bsky.social/post/3lc3iqytlqs2p,0,0,0,0,0,0,0,0,Fue una gozada escucharos y reflexionar sobre el interlocutor/a y su búsqueda. Ay Carmen 🫂,replied_to,685
25,0,Directed,79,,1,2024-11-20,"<[2024-11-20, 2024-11-20]>",https://bsky.app/profile/cristinarodul.bsky.social/post/3lbfovczzi22t,0,0,0,0,0,0,0,0,"chicas, os quiero mucho, pero también quiero que descanséis 🫂💜",replied_to,690
26,30,Directed,80,,2,2025-02-08,"<[2025-02-08, 2025-02-08]>",https://bsky.app/profile/jvanpe.bsky.social/post/3lhnsk44bn22j,0,0,0,0,0,0,0,0,Ponle como 1 hora!!! 🩷,replied_to,1093
27,0,Directed,82,,1,2024-11-19,"<[2024-11-19, 2024-11-19]>",https://bsky.app/profile/aleixgomila.bsky.social/post/3lbbpjzxymk2b,0,0,0,0,0,0,0,0,Allí estaremos esperando :)),replied_to,695
28,0,Directed,83,,1,2024-11-18,"<[2024-11-18, 2024-11-18]>",https://bsky.app/profile/gonzalorute.bsky.social/post/3lb7sbbesvc2u,0,0,0,0,0,0,0,0,Día grande en la ciudad de la contaminación y los calamares.,replied_to,698
30,31,Directed,84,,6,2024-11-14,"<[2024-11-14, 2024-11-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lawleq2tp223,0,0,0,0,0,0,0,0,Sí soy,replied_to,399
30,32,Directed,90,,1,2025-04-15,"<[2025-04-15, 2025-04-15]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lmtr5jsfj22e,0,0,0,0,0,0,0,0,me invitaron a un programa de la tele de risto mejide y le dije al guionista que lo apreciaba un montón pero preferiría tirarme por la ventana,quoted,55
30,33,Directed,91,,1,2025-04-14,"<[2025-04-14, 2025-04-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lmrpoesdi22l,0,0,0,0,0,0,0,0,me he explicado fatal me referia a esto,replied_to,56
30,34,Directed,92,,1,2025-04-14,"<[2025-04-14, 2025-04-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lmr56dxoos2l,0,0,0,0,0,0,0,0,esto es una cosa tan evidente que me tiene un poco loca desde hace años,quoted,57
30,35,Directed,93,,5,2024-11-14,"<[2024-11-14, 2024-11-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lawbmbkf6k2l,0,0,0,0,0,0,0,0,pero bebés socorro que me meo prometido que fuiste una persona majísima y mas verguenza me deberia dar a mí!,replied_to,402
30,30,Directed,98,,164,2024-11-14,"<[2024-11-14, 2024-11-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lavnlb4gsk2l,0,0,0,0,0,0,0,0,el tweet poniendo que seguro que es el mítico pringado que en internet es muy valiente pero en persona tiene miedo de que le peguen es una puta obra de arte,replied_to,405
30,36,Directed,262,,1,2025-04-01,"<[2025-04-01, 2025-04-01]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3llqx3ptg3225,0,0,0,0,0,0,0,0,Dijimos varias veces que era broma y que era una forma superficial de hablar del tema,replied_to,61
30,37,Directed,263,,5,2024-11-28,"<[2024-11-28, 2024-11-28]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lbyyjotglc2q,0,0,0,0,0,0,0,0,compro,replied_to,297
30,38,Directed,268,,1,2025-03-24,"<[2025-03-24, 2025-03-24]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ll4hnwgbvc2p,0,0,0,0,0,0,0,0,es que... :___,replied_to,65
30,39,Directed,269,,1,2025-03-22,"<[2025-03-22, 2025-03-22]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lkyaeebxpc2p,0,0,0,0,0,0,0,0,xddddddd qué vergüenza ajena,quoted,70
30,40,Directed,270,,3,2024-12-16,"<[2024-12-16, 2024-12-16]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3ldgbowha7c2g,0,0,0,0,0,0,0,0,hala no 🥲,replied_to,217
30,41,Directed,273,,1,2025-03-21,"<[2025-03-21, 2025-03-21]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lkuy26kbs22p,0,0,0,0,0,0,0,0,y si 1000 han denunciado cuantos no lo habran hecho....,quoted,74
30,42,Directed,274,,7,2024-11-14,"<[2024-11-14, 2024-11-14]>",https://bsky.app/profile/sarariveiro.bsky.social/post/3lawmt45gw22w,0,0,0,0,0,0,0,0,💘💘💘,replied_to,398
